account_article_source_id,time_published,time_created
1036376,1441898784,1441943873
1036371,1441903205,1441943590
1032141,1441906304,1441906323
1032142,1441906183,1441906325
1032365,1441907874,1441908055
1032825,1441911638,1441911788
1033080,1441913669,1441913803
1033832,1441921830,1441922075
1033862,1441922339,1441922494
1034090,1441923665,1441923766
1036293,1441942180,1441942338
1036576,1441944000,1441944297
1036589,1441944000,1441944309
1036586,1441944000,1441944309
1036587,1441944000,1441944309
1036588,1441944000,1441944309
1036591,1441944000,1441944310
1036594,1441944000,1441944310
1036575,1441944000,1441944297
1036593,1441944000,1441944310
1036592,1441944000,1441944310
1036577,1441944000,1441944298
1036578,1441944000,1441944299
1036579,1441944000,1441944301
1036580,1441944000,1441944302
1036581,1441944000,1441944304
1036582,1441944000,1441944305
1036584,1441944000,1441944307
1036585,1441944000,1441944309
1036590,1441944000,1441944310
1036595,1441944000,1441944311
1037223,1441949150,1441949287
1039805,1441965936,1441965986
1040730,1441971442,1441971548
1040891,1441972520,1441972566
1042059,1441980428,1441980554
1042414,1441982356,1441982429
1044094,1441989323,1441989469
1044381,1441991270,1441991350
1044433,1441991516,1441991662
1044584,1441992562,1441992656
1044651,1441992892,1441993025
1044995,1441995670,1441995829
1045376,1441999127,1441999278
1048747,1442030400,1442030519
1048749,1442030400,1442030521
1048750,1442030400,1442030522
1048751,1442030400,1442030522
1048752,1442030400,1442030524
1048753,1442030400,1442030526
1048754,1442030400,1442030527
1048755,1442030400,1442030528
1048756,1442030400,1442030530
1048757,1442030400,1442030531
1048758,1442030400,1442030532
1048759,1442030400,1442030533
1048760,1442030400,1442030534
1053327,1442083805,1442083940
1055043,1442116800,1442116914
1055044,1442116800,1442116916
1055045,1442116800,1442116917
1055046,1442116800,1442116918
1055047,1442116800,1442116919
1055048,1442116800,1442116920
1055049,1442116800,1442116921
1055050,1442116800,1442116923
1055051,1442116800,1442116924
1055052,1442116800,1442116925
1055053,1442116800,1442116926
1055054,1442116800,1442116927
1055055,1442111064,1442116929
1055056,1442110299,1442116930
1055057,1442110012,1442116931
1055058,1442109712,1442116933
1058276,1442149635,1442150004
1060106,1442166305,1442166574
1060500,1442170974,1442171203
1060698,1442173638,1442173813
1060724,1442174343,1442174557
1060883,1442176000,1442176215
1063722,1442198005,1442203490
1063723,1442197971,1442203490
1063719,1442203200,1442203488
1063709,1442203200,1442203485
1063715,1442203200,1442203487
1063713,1442203200,1442203486
1063710,1442203200,1442203485
1068453,1442203200,1442234424
1063716,1442203200,1442203487
1063718,1442203200,1442203488
1063712,1442203200,1442203486
1063721,1442203200,1442203490
1063711,1442203200,1442203486
1063714,1442203200,1442203487
1063717,1442203200,1442203488
1063720,1442203200,1442203490
1063724,1442197492,1442203494
1067128,1442225911,1442226050
1067318,1442226951,1442227169
1068080,1442231992,1442232145
1068215,1442232097,1442232802
1068250,1442232736,1442232931
1068408,1442233885,1442234099
1068797,1442236537,1442236652
1068914,1442237166,1442237307
1069375,1442239870,1442240018
1069494,1442240455,1442240593
1069650,1442241440,1442241498
1070286,1442244306,1442244604
1070260,1442244362,1442244480
1070857,1442247856,1442248087
1070925,1442248363,1442248542
1071121,1442249563,1442249600
1071419,1442251530,1442251730
1071609,1442253132,1442253295
1071942,1442256194,1442256223
1071957,1442256212,1442256383
1072001,1442256671,1442256791
1072317,1442259578,1442259762
1073187,1442262859,1442263009
1073292,1442263399,1442263591
1073419,1442264732,1442264914
1073481,1442265965,1442266002
